% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 65.39    0.056281       28140         2           wait4
 12.76    0.010983           7      1380       456 openat
 11.56    0.009952           8      1174           read
  4.32    0.003722           3       936           close
  2.40    0.002063           6       297        13 newfstatat
  0.80    0.000688          12        57           mmap
  0.52    0.000445          29        15           mprotect
  0.50    0.000428         107         4           getdents64
  0.29    0.000251          35         7           munmap
  0.24    0.000204          12        16           write
  0.23    0.000198          99         2           clone
  0.20    0.000174           4        41           fstat
  0.16    0.000136           9        14           brk
  0.13    0.000110           4        23           rt_sigaction
  0.12    0.000100          50         2         2 connect
  0.10    0.000087           3        23         1 lseek
  0.08    0.000070          35         2           socket
  0.03    0.000027           3         8           rt_sigprocmask
  0.02    0.000021          21         1           pipe2
  0.02    0.000021           7         3           prlimit64
  0.02    0.000019           3         5         5 ioctl
  0.02    0.000017           5         3           getrandom
  0.02    0.000016           8         2           futex
  0.02    0.000013           4         3           arch_prctl
  0.01    0.000012           4         3           rseq
  0.01    0.000011           3         3           set_tid_address
  0.01    0.000011           2         5           set_robust_list
  0.00    0.000004           4         1           getpid
  0.00    0.000004           4         1           geteuid
  0.00    0.000004           4         1           sched_getaffinity
  0.00    0.000003           3         1           sigaltstack
  0.00    0.000000           0         6           pread64
  0.00    0.000000           0         3         3 access
  0.00    0.000000           0         3           dup2
  0.00    0.000000           0         3           execve
------ ----------- ----------- --------- --------- ------------------
100.00    0.086075          21      4050       480 total
