% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 27.51    0.004215         113        37           read
 18.11    0.002774          84        33           rt_sigprocmask
 12.68    0.001942         242         8           clone3
  9.08    0.001391         278         5         1 futex
  6.21    0.000951          59        16           madvise
  5.48    0.000839          93         9           openat
  4.42    0.000677          75         9           rseq
  4.41    0.000676          75         9           set_robust_list
  3.41    0.000522          58         9           close
  3.06    0.000469          52         9           mprotect
  2.33    0.000357          27        13           munmap
  1.59    0.000243          11        22           mmap
  1.42    0.000217          21        10           fstat
  0.24    0.000037          18         2           write
  0.04    0.000006           6         1         1 ioctl
  0.03    0.000005           2         2           clock_gettime
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         1           rt_sigaction
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00    0.015321          74       206         3 total
